sample_id,n_boundary_loops,n_target_loops_rpa,center_fan/target_loop_length_before,center_fan/target_loop_length_after,center_fan/improvement,center_fan/closure_ratio,center_fan/n_new_vertices,center_fan/n_new_faces,center_fan/avg_new_face_quality,center_fan/min_new_face_quality,center_fan/std_new_face_quality,center_fan/n_faces_inside,center_fan/n_faces_outside,center_fan/locality_ratio,center_fan/chamfer_distance,center_fan/hausdorff_distance,center_fan/dev_mean,center_fan/dev_max,center_fan/dev_median,center_fan/dev_std,planar_removed_part_aware/target_loop_length_before,planar_removed_part_aware/target_loop_length_after,planar_removed_part_aware/improvement,planar_removed_part_aware/closure_ratio,planar_removed_part_aware/n_new_vertices,planar_removed_part_aware/n_new_faces,planar_removed_part_aware/avg_new_face_quality,planar_removed_part_aware/min_new_face_quality,planar_removed_part_aware/std_new_face_quality,planar_removed_part_aware/n_faces_inside,planar_removed_part_aware/n_faces_outside,planar_removed_part_aware/locality_ratio,planar_removed_part_aware/chamfer_distance,planar_removed_part_aware/hausdorff_distance,planar_removed_part_aware/dev_mean,planar_removed_part_aware/dev_max,planar_removed_part_aware/dev_median,planar_removed_part_aware/dev_std,planar_largest_hole_only/target_loop_length_before,planar_largest_hole_only/target_loop_length_after,planar_largest_hole_only/improvement,planar_largest_hole_only/closure_ratio,planar_largest_hole_only/n_new_vertices,planar_largest_hole_only/n_new_faces,planar_largest_hole_only/avg_new_face_quality,planar_largest_hole_only/min_new_face_quality,planar_largest_hole_only/std_new_face_quality,planar_largest_hole_only/n_faces_inside,planar_largest_hole_only/n_faces_outside,planar_largest_hole_only/locality_ratio,planar_largest_hole_only/chamfer_distance,planar_largest_hole_only/hausdorff_distance,planar_largest_hole_only/dev_mean,planar_largest_hole_only/dev_max,planar_largest_hole_only/dev_median,planar_largest_hole_only/dev_std,mlp_patch_rpa/target_loop_length_before,mlp_patch_rpa/target_loop_length_after,mlp_patch_rpa/improvement,mlp_patch_rpa/closure_ratio,mlp_patch_rpa/n_new_vertices,mlp_patch_rpa/n_new_faces,mlp_patch_rpa/avg_new_face_quality,mlp_patch_rpa/min_new_face_quality,mlp_patch_rpa/std_new_face_quality,mlp_patch_rpa/n_faces_inside,mlp_patch_rpa/n_faces_outside,mlp_patch_rpa/locality_ratio,mlp_patch_rpa/chamfer_distance,mlp_patch_rpa/hausdorff_distance,mlp_patch_rpa/dev_mean,mlp_patch_rpa/dev_max,mlp_patch_rpa/dev_median,mlp_patch_rpa/dev_std,trimesh_fill_all/target_loop_length_before,trimesh_fill_all/target_loop_length_after,trimesh_fill_all/improvement,trimesh_fill_all/closure_ratio,trimesh_fill_all/n_new_vertices,trimesh_fill_all/n_new_faces,trimesh_fill_all/avg_new_face_quality,trimesh_fill_all/min_new_face_quality,trimesh_fill_all/std_new_face_quality,trimesh_fill_all/n_faces_inside,trimesh_fill_all/n_faces_outside,trimesh_fill_all/locality_ratio,trimesh_fill_all/chamfer_distance,trimesh_fill_all/hausdorff_distance,trimesh_fill_all/dev_mean,trimesh_fill_all/dev_max,trimesh_fill_all/dev_median,trimesh_fill_all/dev_std,advancing_front_rpa/target_loop_length_before,advancing_front_rpa/target_loop_length_after,advancing_front_rpa/improvement,advancing_front_rpa/closure_ratio,advancing_front_rpa/n_new_vertices,advancing_front_rpa/n_new_faces,advancing_front_rpa/avg_new_face_quality,advancing_front_rpa/min_new_face_quality,advancing_front_rpa/std_new_face_quality,advancing_front_rpa/n_faces_inside,advancing_front_rpa/n_faces_outside,advancing_front_rpa/locality_ratio,advancing_front_rpa/chamfer_distance,advancing_front_rpa/hausdorff_distance,advancing_front_rpa/dev_mean,advancing_front_rpa/dev_max,advancing_front_rpa/dev_median,advancing_front_rpa/dev_std,open3d_poisson/target_loop_length_before,open3d_poisson/target_loop_length_after,open3d_poisson/improvement,open3d_poisson/closure_ratio,open3d_poisson/n_new_vertices,open3d_poisson/n_new_faces,open3d_poisson/avg_new_face_quality,open3d_poisson/min_new_face_quality,open3d_poisson/std_new_face_quality,open3d_poisson/n_faces_inside,open3d_poisson/n_faces_outside,open3d_poisson/locality_ratio,open3d_poisson/chamfer_distance,open3d_poisson/hausdorff_distance,open3d_poisson/dev_mean,open3d_poisson/dev_max,open3d_poisson/dev_median,open3d_poisson/dev_std
46536,99,32,98.2365440795033,0.0,98.2365440795033,1.0,32.0,6084.0,0.05491672987931145,0.0018007786951027582,0.08122659428231761,924.0,5160.0,0.15187376725838264,0.033974094485743914,0.13408878990225057,0.016534047611212646,0.0536632946154366,0.016019150282132376,0.007866188170174097,98.2365440795033,0.0,98.2365440795033,1.0,0.0,6072.0,0.24510213475152717,0.0,0.24779166090524007,708.0,5364.0,0.116600790513834,0.033731435480251246,0.13526940821646402,0.016524314033980532,0.05927716272917308,0.016049712641245516,0.007858769622140504,98.2365440795033,98.2365440795033,0.0,0.0,0.0,342.0,0.08670345378344389,0.01983735511173729,0.1234279309150918,0.0,342.0,0.0,0.03388417521870662,0.13406227467233373,0.01614359138272464,0.054493649130876586,0.015650585721881133,0.007746292834406753,98.2365440795033,0.0,98.2365440795033,1.0,32.0,6084.0,0.04434868814289748,0.002842745808939308,0.029744599230852178,64.0,6020.0,0.01051939513477975,0.046220044302292033,0.36921288056084717,0.027858974536144995,0.3812046637545308,0.017811417979295377,0.038909413928308274,98.2365440795033,98.2365440795033,0.0,0.0,0.0,12.0,0.6566110861215643,0.6444281578893947,0.009307600414096577,0.0,12.0,0.0,0.03355004191357398,0.13739380123387313,0.016212313781033664,0.05007616533892603,0.01574868191655074,0.007753416517035979,98.2365440795033,0.0,98.2365440795033,1.0,0.0,6020.0,0.24065754070983703,0.023591964130745918,0.24661184686788215,676.0,5344.0,0.1122923588039867,0.03392469633484809,0.1335752086783504,0.01645190628079357,0.05614184931451318,0.015888361956218594,0.007982248754445875,98.2365440795033,5.801675715317132,92.43486836418617,0.9409417771188916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04656640005573828,0.25368664745083197,0.02717055765218553,0.25870860113571,0.019044769725680782,0.027585609678850587
47467,48,21,57.73111112136623,0.0,57.73111112136623,1.0,21.0,3244.0,0.06696738574053376,0.0028044850400136385,0.09593147447209847,1096.0,2148.0,0.33785450061652283,0.03984867462758651,0.2664804750446423,0.012486441897836154,0.037689588532199336,0.011806244880269363,0.0063753256571846524,57.73111112136623,0.0,57.73111112136623,1.0,0.0,3202.0,0.1712657063501014,0.04961223144647149,0.19565750901704274,542.0,2660.0,0.16926920674578388,0.0412966180492933,0.2665405359375984,0.012302492947575561,0.0411158081628997,0.011630433079663171,0.006201131219278568,57.73111112136623,57.73111112136623,0.0,0.0,0.0,297.0,0.11454809978684423,0.029644897256105827,0.16600259203940557,0.0,297.0,0.0,0.03798643563581472,0.270308766919994,0.011856360982914147,0.041337017608978,0.011131165806936993,0.006185042860060204,57.73111112136623,0.0,57.73111112136623,1.0,21.0,3244.0,0.05486819293141604,0.005444572106869523,0.07648249090052421,508.0,2736.0,0.15659679408138102,0.05113806826919944,0.2645105839430646,0.024736173831979964,0.2572763197111786,0.014244736737190143,0.031064854286351692,57.73111112136623,57.73111112136623,0.0,0.0,0.0,4.0,0.9496610693623163,0.9496610693623163,0.0,0.0,4.0,0.0,0.03872961750756441,0.26708552606431746,0.012029017608706236,0.03785067138668823,0.011313507645145653,0.006312269132641682,,,,,,,,,,,,,,,,,,,57.73111112136623,4.183345705176922,53.54776541618931,0.9275374122562372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03707941242448568,0.2514222912344152,0.011921443474192071,0.04134086917593747,0.011211546293588559,0.006027207836075826
48024,82,44,65.06266248690333,0.0,65.06266248690333,1.0,44.0,3293.0,0.13045603942724823,0.0015967823919309755,0.15884673050176706,1111.0,2182.0,0.3373823261463711,0.041313744648360254,0.26091795858621797,0.014174312686202273,0.12114015534381235,0.010467953466460494,0.014737666237763665,65.06266248690333,0.8466494941389917,64.21601299276435,0.9869871680349783,0.0,3235.0,0.2826157305526387,0.0,0.24710224664491878,629.0,2606.0,0.19443585780525502,0.0379291780370708,0.25971441139607093,0.010432612943330297,0.03595271203155306,0.009700272509496687,0.005375698242065586,65.06266248690333,65.06266248690333,0.0,0.0,0.0,231.0,0.18805367770735637,0.003968991639545396,0.20658700222919033,0.0,231.0,0.0,0.03622428105096089,0.2603467927550416,0.00968211702169533,0.03459821539388596,0.009074337594034351,0.005063123793816232,65.06266248690333,0.0,65.06266248690333,1.0,44.0,3293.0,0.11611181685119915,0.004125887181415899,0.14325182764472263,240.0,3053.0,0.07288187063467963,0.06127600987450714,0.2868809617997184,0.03540178024855528,0.28428816919479827,0.01435816164175478,0.046751705070687974,65.06266248690333,65.06266248690333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03726211834204014,0.2622779402784677,0.009570668043486977,0.031397475149464484,0.0089855276319311,0.004974505564519905,,,,,,,,,,,,,,,,,,,65.06266248690333,3.429087365006466,61.63357512189687,0.9472956188090716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03511997577453962,0.2519605951705708,0.01011526319402738,0.041988351753616954,0.009278773349368594,0.005568303449346385
47092,39,1,2.8842036830717976,0.0,2.8842036830717976,1.0,1.0,160.0,0.06974520788773778,0.031534480963118894,0.025852829193043027,0.0,160.0,0.0,0.03425243085451781,0.12682357901604727,0.01674757125373305,0.05616438503752825,0.015834642255993084,0.008526485475998883,2.8842036830717976,0.0,2.8842036830717976,1.0,0.0,158.0,0.17592892867875595,0.0628958748936978,0.19854527319762413,0.0,158.0,0.0,0.03468409319278551,0.13037498283430735,0.01698391217733068,0.06268244278603843,0.016121460825249602,0.008656150181754231,2.8842036830717976,0.0,2.8842036830717976,1.0,0.0,199.0,0.6630006808298486,0.43270451948095523,0.053261719959735894,0.0,199.0,0.0,0.034176332918730346,0.12633599787969466,0.01686365575115151,0.061688037489478174,0.016028878052408456,0.008599227280849086,2.8842036830717976,0.0,2.8842036830717976,1.0,1.0,160.0,0.057816560867629804,0.021126629926723806,0.019816290720207644,0.0,160.0,0.0,0.03486209835170229,0.21539874716142388,0.017076482471800995,0.188789523371171,0.01596958106861409,0.009940203383010007,2.8842036830717976,0.0,2.8842036830717976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034148763368346616,0.13105343022418958,0.01675032614769854,0.05753523716933484,0.01592859043514868,0.008540803173752193,2.8842036830717976,0.0,2.8842036830717976,1.0,0.0,158.0,0.13825271563094846,0.009822926122091406,0.20052867014686418,0.0,158.0,0.0,0.034391668749649495,0.11931154439611937,0.016768731359512755,0.06060550626194857,0.015913072207840016,0.008438199840763369,2.8842036830717976,0.3124141982702434,2.5717894848015543,0.8916809516249181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04702478148379288,0.14191876739870157,0.026208626446830488,0.15030674263394492,0.020787141653398886,0.019183953723640984
47098,40,16,27.359803321645188,0.0,27.359803321645188,1.0,16.0,3280.0,0.05194683499038853,0.00034926383386208127,0.12705622132254585,3280.0,0.0,1.0,0.03245806356666541,0.16963425174357932,0.01457060145241119,0.04837952296213621,0.013701169842793013,0.007533524154416099,27.359803321645188,0.0,27.359803321645188,1.0,0.0,3248.0,0.4829617208334459,0.19250183971434137,0.06914004344414516,3248.0,0.0,1.0,0.03274181485270509,0.1718452025054174,0.014434826650962088,0.04434545577701004,0.013671114624275765,0.007452288040458691,27.359803321645188,24.132680551400316,3.227122770244872,0.11795124154608949,0.0,368.0,0.48592002388506295,0.3823158148769672,0.02661848425854988,368.0,0.0,1.0,0.03223315700020591,0.17249722508261697,0.014536915789480838,0.04545339223478228,0.013742530229329586,0.00744623106557841,27.359803321645188,0.0,27.359803321645188,1.0,16.0,3280.0,0.04501966523408544,0.0018976115679249107,0.08925273170715185,3280.0,0.0,1.0,0.03383774924085073,0.12690844858859626,0.017012957077693677,0.11552013554535706,0.014363428356143036,0.013793288301446131,27.359803321645188,27.359803321645188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03288242382356489,0.17058314331618807,0.01456075042541656,0.04708491071271305,0.013781220566465137,0.007460050343624349,27.359803321645188,0.0,27.359803321645188,1.0,0.0,3248.0,0.4714572610765455,0.05928059192959159,0.08647616467588877,3248.0,0.0,1.0,0.03311665102385424,0.16868020332070666,0.014595348735434674,0.050106339327206,0.013804264709076492,0.007425441350245546,27.359803321645188,6.172315062918294,21.187488258726894,0.7744020675018821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04815077173331539,0.1826801551751918,0.0269833378323827,0.18264948620284208,0.018619603963529893,0.02867583347772275
47608,389,29,72.56752195178304,0.0,72.56752195178304,1.0,29.0,2786.0,0.17905715086828194,0.004419507357019485,0.17298225013108806,91.0,2695.0,0.032663316582914576,0.03299911761385933,0.1839669565042322,0.017106400487220078,0.1898307720059084,0.014947666962786994,0.014447231554533,72.56752195178304,0.3069977013451941,72.26052425043784,0.9957694889795303,0.0,2643.0,0.5937326213345991,0.23075419148739607,0.20877284163953055,97.0,2546.0,0.03670071888006054,0.030006793398258767,0.08523476063384976,0.015003153240941307,0.05002874056244712,0.014213310432445274,0.007560143058585653,72.56752195178304,72.56752195178304,0.0,0.0,0.0,192.0,0.5359324712742222,0.06593797802948104,0.15009046395217096,0.0,192.0,0.0,0.029732986795648043,0.09610117786086846,0.014913847458003062,0.050297725807212916,0.01409120522517762,0.0076521497708114845,72.56752195178304,0.0,72.56752195178304,1.0,29.0,2786.0,0.1199568237474942,0.004103583582735112,0.11251494282563793,64.0,2722.0,0.02297200287150036,0.03562359690451292,0.13564183437266245,0.01946123124266358,0.14630798974220116,0.015982320722154462,0.014788320026858372,72.56752195178304,72.56752195178304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029293034540437773,0.0867252174506815,0.014675764524261238,0.05140487360255375,0.0138541404624442,0.007547778972193805,72.56752195178304,0.0,72.56752195178304,1.0,0.0,2728.0,0.5636056381758465,0.09098409118066854,0.2301033295329208,71.0,2657.0,0.026026392961876834,0.030109967218343477,0.08020846791949932,0.014990066513546958,0.049973545532040475,0.014212021054514759,0.00766260888817009,72.56752195178304,0.0,72.56752195178304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186806273079518,0.6996024471689698,0.06163992341360297,0.7131010332124028,0.022105635834742655,0.11060265002615839
47722,53,27,61.49933964813394,0.0,61.49933964813394,1.0,27.0,1820.0,0.1593121248565827,0.01776521538446002,0.09738399458724259,0.0,1820.0,0.0,0.03363378487022487,0.2881830174618289,0.01583326721286371,0.07703297085119977,0.01244679153427692,0.013967355059251941,61.49933964813394,0.0,61.49933964813394,1.0,0.0,1766.0,0.2991580856675621,0.10022411652502507,0.22309708256203858,232.0,1534.0,0.13137032842582105,0.03357928248352775,0.28838879073704476,0.01588406625381441,0.07712818593474398,0.012514764363001068,0.014336568558173765,61.49933964813394,61.49933964813394,0.0,0.0,0.0,151.0,0.18376533169012507,0.048289698151593015,0.19980829386600923,0.0,151.0,0.0,0.029554372111151486,0.2869222918196875,0.012458754791168704,0.051196117903052875,0.011672750817512283,0.006541642870375378,61.49933964813394,0.0,61.49933964813394,1.0,27.0,1820.0,0.13682986990658555,0.0022904536503705938,0.09734703044501442,50.0,1770.0,0.027472527472527472,0.05766695482763655,0.42823727155542624,0.038582703547840644,0.4313530553524926,0.015310554862162302,0.06132192291989921,61.49933964813394,61.49933964813394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028967047586456407,0.2884602374432673,0.012507325232046545,0.049176803902014773,0.011644899210031303,0.006741246836690401,61.49933964813394,0.0,61.49933964813394,1.0,0.0,1766.0,0.2734736944526837,0.010019036199541923,0.22014746526078696,220.0,1546.0,0.1245753114382786,0.033547580534109486,0.29012547506863456,0.015747095904505026,0.07979565683930682,0.012400147811712005,0.014227900644724983,61.49933964813394,0.0,61.49933964813394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028122121167307522,0.0759352811001089,0.014501244271867803,0.07597499468656897,0.012570100928153886,0.00993978325742516
49306,83,23,59.89421526899448,0.0,59.89421526899448,1.0,23.0,1738.0,0.1415626435592598,0.00936843131242171,0.09981256467166585,24.0,1714.0,0.01380897583429229,0.0326298162928385,0.1408244660847063,0.01619937996641156,0.060333477954002304,0.014707401906508454,0.009065594446396598,59.89421526899448,0.0,59.89421526899448,1.0,0.0,1692.0,0.2967594663736215,0.11110642410387082,0.20439927220909004,104.0,1588.0,0.061465721040189124,0.03281648893800741,0.14470222112443792,0.016118755529539067,0.052849190847986005,0.014608939666295518,0.008961231786767195,59.89421526899448,59.89421526899448,0.0,0.0,0.0,143.0,0.17982661234761205,0.05531362176685942,0.19827222115468576,0.0,143.0,0.0,0.030928016535117085,0.14798056727167685,0.014926835143877855,0.05603345327072936,0.013840169322525582,0.007986324749863374,59.89421526899448,0.0,59.89421526899448,1.0,23.0,1738.0,0.11720060062182869,0.01716189283334732,0.0761560340374944,0.0,1738.0,0.0,0.047120965702384277,0.37494607167614724,0.029524455494210178,0.37994347928299405,0.01645073621867684,0.04542952601922989,59.89421526899448,59.89421526899448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030806668972115446,0.13660622268164357,0.01470341764440246,0.05726520129822046,0.0136721912585496,0.007896038673937877,59.89421526899448,0.0,59.89421526899448,1.0,0.0,1692.0,0.2811367656228875,0.045273287072423646,0.19831637960777385,96.0,1596.0,0.05673758865248227,0.03272960164254634,0.14027377902680901,0.016038797998891484,0.05450555293204008,0.014619164017372576,0.009016393961094105,59.89421526899448,0.0,59.89421526899448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04097975365384842,0.14513664638099,0.022166588664714472,0.14335898024375873,0.01783585492849582,0.017358845240697467
46659,48,33,119.41070966856117,0.0,119.41070966856117,1.0,33.0,8185.0,0.04810764955096154,0.001858772725041004,0.048049108488729425,0.0,8185.0,0.0,0.046501591760360436,0.22907756883037247,0.021928092263044617,0.09725331031286581,0.020438851781753614,0.01186409626355752,119.41070966856117,1.0072362390703284,118.40347342949084,0.9915649421909808,0.0,8098.0,0.15332220702052501,0.0,0.1655138528334528,0.0,8098.0,0.0,0.04567207128375792,0.2286153258991735,0.021574172240805368,0.08516381482059879,0.02006436345691274,0.011760686893884403,119.41070966856117,113.4743392269023,5.936370441658866,0.04971388628487328,0.0,409.0,0.15245657400736098,0.025439885377641518,0.17116278092594853,0.0,409.0,0.0,0.04464270280843621,0.2226453262775677,0.020569897720934583,0.08721859050807795,0.0196070755390007,0.010437542012910014,119.41070966856117,0.0,119.41070966856117,1.0,33.0,8185.0,0.04140497461810656,0.002279088772898454,0.04477170745527299,0.0,8185.0,0.0,0.0473943943334587,0.22221170024630482,0.023557768554380843,0.12627834610109198,0.021102163134856453,0.01438664721863143,119.41070966856117,119.41070966856117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04483520462172076,0.21756598938627889,0.02046518868717904,0.0810223087297813,0.019645435421869094,0.010146423954620691,119.41070966856117,0.0,119.41070966856117,1.0,0.0,8119.0,0.20061523274360427,0.004782820636109671,0.24683986402331523,0.0,8119.0,0.0,0.04599237084393985,0.22793364681267062,0.02173416722436867,0.08585571508326693,0.020387824612244657,0.01159471322989953,119.41070966856117,4.129645511487461,115.2810641570737,0.965416456170893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06416275185227044,0.1903225001043488,0.03556739838602902,0.18889992198469915,0.025788256458435802,0.03278504529325546
39154,48,30,106.28000584684439,0.0,106.28000584684439,1.0,30.0,6293.0,0.05561709248834556,0.0026642785117274724,0.0835798634706906,2677.0,3616.0,0.42539329413634197,0.08380544968610058,0.40907361719382646,0.03200400311341495,0.2790350043006625,0.014267927309648928,0.047917277928418954,106.28000584684439,1.5288099342899149,104.75119591255448,0.9856152629828322,0.0,6136.0,0.3027762248553248,0.019679845483648175,0.33753406546254117,1848.0,4288.0,0.3011734028683181,0.08184824807453343,0.4772872175212102,0.014798657722332798,0.07766416651323757,0.01272308422463579,0.010633505086199048,106.28000584684439,97.45984860856565,8.820157238278739,0.08298980761244112,0.0,520.0,0.5618098504061957,0.019679845483648175,0.3689959580602958,208.0,312.0,0.4,0.08177945553469325,0.4834735002198671,0.012602619631939337,0.07371353028780543,0.011315773280826943,0.007893594761786646,106.28000584684439,0.0,106.28000584684439,1.0,30.0,6293.0,0.04825803139696798,0.006197617031374065,0.07390967654055484,1329.0,4964.0,0.21118703321150484,0.0980848185286533,0.43239760509705943,0.04896844208737989,0.4228239430010506,0.018385278955123145,0.06392979293632972,106.28000584684439,106.28000584684439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08056526501097595,0.4818581507301582,0.012057605859168987,0.041817150988433555,0.011243437965101922,0.005997608748797162,,,,,,,,,,,,,,,,,,,106.28000584684439,6.214918990949577,100.06508685589482,0.9415231591170061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294823709033866,0.47992771357620195,0.015335696635575562,0.12467313978758746,0.011962017834677718,0.014418057753707718
